Month,Counseling Visits,Initial Intakes,Crisis Consultations,No Shows,No Show Rate,Average PHQ-9 Score,Students Screened,Students Improved
2025-01-01,260,72,18,34,13.1,12.8,145,78
2025-02-01,280,76,21,36,12.9,12.5,152,84
2025-03-01,315,84,25,39,12.4,12.1,165,96
2025-04-01,300,79,22,37,12.3,11.9,158,94
2025-05-01,255,68,19,31,12.2,11.6,139,88
2025-06-01,205,54,14,24,11.7,11.2,112,73
2025-07-01,180,48,12,21,11.7,10.9,98,66
2025-08-01,215,57,15,25,11.6,11.1,120,77
2025-09-01,360,92,31,46,12.8,12.4,188,103
2025-10-01,390,99,35,49,12.6,12.2,202,115
2025-11-01,340,87,28,42,12.4,11.8,176,106
2025-12-01,240,62,17,29,12.1,11.5,132,85
