Month,Total Visits,Visits Using Insurance,Self Pay Visits,No Charge Visits,Top Insurance Category
2025-01-01,890,525,185,180,Student Health Insurance
2025-02-01,940,558,196,186,Student Health Insurance
2025-03-01,1015,612,208,195,Private Insurance
2025-04-01,980,598,192,190,Student Health Insurance
2025-05-01,870,535,165,170,Private Insurance
2025-06-01,720,438,132,150,Student Health Insurance
2025-07-01,650,392,118,140,Private Insurance
2025-08-01,760,462,146,152,Student Health Insurance
2025-09-01,1120,690,230,200,Student Health Insurance
2025-10-01,1185,735,245,205,Private Insurance
2025-11-01,1060,660,210,190,Student Health Insurance
2025-12-01,810,505,155,150,Private Insurance
