Month,Total Referrals,Completed Referrals,Pending Referrals,Most Common Referral Type,Average Days to Completion
2025-01-01,88,63,25,Community Mental Health,12
2025-02-01,92,68,24,Psychiatry,11
2025-03-01,105,76,29,Specialty Care,13
2025-04-01,98,74,24,Community Mental Health,10
2025-05-01,84,66,18,Nutrition Support,9
2025-06-01,70,56,14,Primary Care Follow-up,8
2025-07-01,62,51,11,Specialty Care,8
2025-08-01,74,58,16,Community Mental Health,9
2025-09-01,116,82,34,Psychiatry,14
2025-10-01,124,91,33,Community Mental Health,13
2025-11-01,108,84,24,Specialty Care,11
2025-12-01,82,67,15,Primary Care Follow-up,9
