Month,Average Satisfaction Score,Access Score,Communication Score,Wait Time Score,Privacy Score,Responses
2025-01-01,4.25,4.10,4.35,3.95,4.50,118
2025-02-01,4.28,4.15,4.40,4.00,4.52,126
2025-03-01,4.31,4.18,4.42,4.05,4.55,132
2025-04-01,4.36,4.25,4.45,4.12,4.60,129
2025-05-01,4.38,4.28,4.48,4.15,4.62,121
2025-06-01,4.42,4.35,4.50,4.20,4.65,104
2025-07-01,4.45,4.38,4.55,4.22,4.67,96
2025-08-01,4.39,4.30,4.49,4.16,4.63,108
2025-09-01,4.22,4.05,4.32,3.90,4.48,147
2025-10-01,4.26,4.12,4.36,3.98,4.51,156
2025-11-01,4.33,4.20,4.43,4.08,4.58,142
2025-12-01,4.40,4.32,4.50,4.18,4.66,119
satisfaction_scores.csv
